Fri Aug 23 10:06:10 CST 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1377237953878,5,25,6,0,17,0,0,2616,1,1324,9,0,0
1377237958878,5,25,6,0,17,0,0,2616,1,1324,9,0,0
1377237963878,5,25,6,0,17,0,0,2618,1,1324,9,0,0
1377237968878,5,25,6,0,17,0,0,2618,1,1325,9,0,0
1377237973878,5,25,6,0,17,0,0,2618,1,1325,9,0,0
1377237978878,5,25,6,0,17,0,0,2618,1,1325,9,0,0
1377237983878,5,25,6,0,17,0,0,2618,1,1325,9,0,0
1377237988879,5,25,6,0,17,0,0,2618,1,1325,9,0,0
1377237993879,5,25,6,0,17,0,0,2620,1,1325,9,0,0
1377237998878,5,25,6,0,17,0,0,2620,1,1326,9,0,0
1377238003878,5,25,6,0,17,0,0,2620,1,1326,9,0,0
1377238008878,5,25,6,0,17,0,0,2620,1,1326,9,0,0
1377238013878,5,25,6,0,17,0,0,2620,1,1326,9,0,0
1377238018878,5,25,6,0,17,0,0,2620,1,1326,9,0,0
1377238023878,5,25,6,0,17,0,0,2622,1,1326,9,0,0
1377238028878,5,25,6,0,17,0,0,2622,1,1327,9,0,0
1377238033878,5,25,6,0,17,0,0,2622,1,1327,9,0,0
1377238038878,5,25,6,0,17,0,0,2622,1,1327,9,0,0
1377238043878,5,25,6,0,17,0,0,2622,1,1327,9,0,0
1377238048878,5,25,6,0,17,0,0,2622,1,1327,9,0,0
1377238053878,5,25,6,0,17,0,0,2624,1,1327,9,0,0
1377238058878,5,25,6,0,17,0,0,2624,1,1328,9,0,0
1377238063878,5,25,6,0,17,0,0,2624,1,1328,9,0,0
1377238068879,5,25,6,0,17,0,0,2624,1,1328,9,0,0
1377238073878,5,25,6,0,17,0,0,2624,1,1328,9,0,0
1377238078879,5,25,6,0,17,0,0,2624,1,1328,9,0,0
1377238083879,5,25,6,0,17,0,0,2626,1,1328,9,0,0
1377238088878,5,25,6,0,17,0,0,2626,1,1329,9,0,0
1377238093879,5,25,6,0,17,0,0,2626,1,1329,9,0,0
1377238098879,5,25,6,0,17,0,0,2626,1,1329,9,0,0
1377238103878,5,25,6,0,17,0,0,2626,1,1329,9,0,0
1377238108879,5,25,6,0,17,0,0,2626,1,1329,9,0,0
1377238113879,5,25,6,0,17,0,0,2628,1,1329,9,0,0
1377238118878,5,25,6,0,17,0,0,2628,1,1330,9,0,0
1377238123878,5,25,6,0,17,0,0,2628,1,1330,9,0,0
1377238128879,5,25,6,0,17,0,0,2628,1,1330,9,0,0
1377238133879,5,25,6,0,17,0,0,2628,1,1330,9,0,0
1377238138878,5,25,6,0,17,0,0,2628,1,1330,9,0,0
1377238143879,5,25,6,0,17,0,0,2630,1,1330,9,0,0
1377238148879,5,25,6,0,17,0,0,2630,1,1331,9,0,0
1377238153878,5,25,6,0,17,0,0,2630,1,1331,9,0,0
1377238158879,5,25,6,0,17,0,0,2630,1,1331,9,0,0
1377238163879,5,25,6,0,17,0,0,2630,1,1331,9,0,0
1377238168878,5,25,6,0,17,0,0,2630,1,1331,9,0,0
1377238173879,5,25,6,0,17,0,0,2632,1,1331,9,0,0
1377238178879,5,25,6,0,17,0,0,2632,1,1332,9,0,0
1377238183878,5,25,6,0,17,0,0,2632,1,1332,9,0,0
1377238188879,5,25,6,0,17,0,0,2632,1,1332,9,0,0
1377238193879,5,25,6,0,17,0,0,2632,1,1332,9,0,0
1377238198878,5,25,6,0,17,0,0,2632,1,1332,9,0,0
1377238203879,5,25,6,0,17,0,0,2634,1,1332,9,0,0
1377238208879,5,25,6,0,17,0,0,2634,1,1333,9,0,0
1377238213878,5,25,6,0,17,0,0,2634,1,1333,9,0,0
1377238218879,5,25,6,0,17,0,0,2634,1,1333,9,0,0
1377238223879,5,25,6,0,17,0,0,2634,1,1333,9,0,0
1377238228878,5,25,6,0,17,0,0,2634,1,1333,9,0,0
1377238233879,5,25,6,0,17,0,0,2636,1,1333,9,0,0
1377238238879,5,25,6,0,17,0,0,2636,1,1334,9,0,0
1377238243878,5,25,6,0,17,0,0,2636,1,1334,9,0,0
1377238248878,5,25,6,0,17,0,0,2636,1,1334,9,0,0
1377238253879,5,25,6,0,17,0,0,2636,1,1334,9,0,0
1377238258879,5,25,6,0,17,0,0,2636,1,1334,9,0,0
1377238263878,5,25,6,0,17,0,0,2638,1,1334,9,0,0
1377238268879,5,25,6,0,17,0,0,2638,1,1335,9,0,0
1377238273879,5,25,6,0,17,0,0,2638,1,1335,9,0,0
1377238278878,5,25,6,0,17,0,0,2638,1,1335,9,0,0
1377238283879,5,25,6,0,17,0,0,2638,1,1335,9,0,0
1377238288879,5,25,6,0,17,0,0,2638,1,1335,9,0,0
1377238293878,5,25,6,0,17,0,0,2640,1,1335,9,0,0
1377238298879,5,25,6,0,17,0,0,2640,1,1336,9,0,0
1377238303879,5,25,6,0,17,0,0,2640,1,1336,9,0,0
1377238308878,5,25,6,0,17,0,0,2640,1,1336,9,0,0
1377238313879,5,25,6,0,17,0,0,2640,1,1336,9,0,0
1377238318879,5,25,6,0,17,0,0,2640,1,1336,9,0,0
1377238323878,5,25,6,0,17,0,0,2642,1,1336,9,0,0
1377238328879,5,25,6,0,17,0,0,2642,1,1337,9,0,0
1377238333879,5,25,6,0,17,0,0,2642,1,1337,9,0,0
1377238338878,5,25,6,0,17,0,0,2642,1,1337,9,0,0
1377238343879,5,25,6,0,17,0,0,2642,1,1337,9,0,0
1377238348879,5,25,6,0,17,0,0,2642,1,1337,9,0,0
1377238353878,5,25,6,0,17,0,0,2644,1,1338,9,0,0
1377238358878,5,25,6,0,17,0,0,2644,1,1338,9,0,0
1377238363879,5,25,6,0,17,0,0,2644,1,1338,9,0,0
1377238368878,5,25,6,0,17,0,0,2644,1,1338,9,0,0
1377238373878,5,25,6,0,17,0,0,2644,1,1338,9,0,0
1377238378879,5,25,6,0,17,0,0,2644,1,1338,9,0,0
1377238383878,5,25,6,0,17,0,0,2646,1,1338,9,0,0
1377238388878,5,25,6,0,17,0,0,2646,1,1339,9,0,0
1377238393879,5,25,6,0,17,0,0,2646,1,1339,9,0,0
1377238398879,5,25,6,0,17,0,0,2646,1,1339,9,0,0
1377238403878,5,25,6,0,17,0,0,2646,1,1339,9,0,0
1377238408879,5,25,6,0,17,0,0,2646,1,1339,9,0,0
1377238413879,5,25,6,0,17,0,0,2648,1,1340,9,0,0
1377238418878,5,25,6,0,17,0,0,2648,1,1340,9,0,0
1377238423879,5,25,6,0,17,0,0,2648,1,1340,9,0,0
1377238428879,5,25,6,0,17,0,0,2648,1,1340,9,0,0
1377238433878,5,25,6,0,17,0,0,2648,1,1340,9,0,0
1377238438879,5,25,6,0,17,0,0,2648,1,1340,9,0,0
1377238443879,5,25,6,0,17,0,0,2651,1,1340,9,0,0
1377238448878,5,25,6,0,17,0,0,2653,1,1342,9,0,0
1377238453879,5,25,6,0,17,0,0,2655,1,1344,9,0,0
1377238458879,5,25,6,0,17,0,0,2656,1,1344,9,0,0
1377238463878,5,25,6,0,17,0,0,2656,1,1344,9,0,0
1377238468878,5,25,6,0,17,0,0,2656,1,1344,9,0,0
1377238473879,5,25,6,0,17,0,0,2656,1,1344,9,0,0
1377238478878,5,25,6,0,17,0,0,2656,1,1344,9,0,0
1377238483878,5,25,6,0,17,0,0,2656,1,1344,9,0,0
1377238488879,5,25,6,0,17,0,0,2658,1,1345,9,0,0
1377238493878,5,25,6,0,17,0,0,2658,1,1345,9,0,0
1377238498878,5,25,6,0,17,0,0,2658,1,1345,9,0,0
1377238503879,5,25,6,0,17,0,0,2658,1,1345,9,0,0
1377238508878,5,25,6,0,17,0,0,2658,1,1345,9,0,0
1377238513878,5,25,6,0,17,0,0,2658,1,1345,9,0,0
1377238518879,5,25,6,0,17,0,0,2660,1,1346,9,0,0
1377238523879,5,25,6,0,17,0,0,2660,1,1346,9,0,0
1377238528878,5,25,6,0,17,0,0,2660,1,1346,9,0,0
1377238533879,5,25,6,0,17,0,0,2660,1,1346,9,0,0
1377238538879,5,25,6,0,17,0,0,2660,1,1346,9,0,0
1377238543878,5,25,6,0,17,0,0,2660,1,1346,9,0,0
1377238548879,5,25,6,0,17,0,0,2662,1,1347,9,0,0
1377238553879,5,25,6,0,17,0,0,2662,1,1347,9,0,0
1377238558878,5,25,6,0,17,0,0,2662,1,1347,9,0,0
1377238563879,5,25,6,0,17,0,0,2662,1,1347,9,0,0
1377238568879,5,25,6,0,17,0,0,2662,1,1347,9,0,0
1377238573878,5,25,6,0,17,0,0,2662,1,1347,9,0,0
1377238578878,5,25,6,0,17,0,0,2664,1,1348,9,0,0
1377238583879,5,25,6,0,17,0,0,2664,1,1348,9,0,0
1377238588878,5,25,6,0,17,0,0,2664,1,1348,9,0,0
1377238593878,5,25,6,0,17,0,0,2664,1,1348,9,0,0
1377238598879,5,25,6,0,17,0,0,2664,1,1348,9,0,0
1377238603878,5,25,6,0,17,0,0,2664,1,1348,9,0,0
1377238608878,5,25,6,0,17,0,0,2666,1,1349,9,0,0
1377238613879,5,25,6,0,17,0,0,2666,1,1349,9,0,0
1377238618878,5,25,6,0,17,0,0,2666,1,1349,9,0,0
1377238623878,5,25,6,0,17,0,0,2666,1,1349,9,0,0
1377238628879,5,25,6,0,17,0,0,2666,1,1349,9,0,0
1377238633878,5,25,6,0,17,0,0,2666,1,1349,9,0,0
1377238638878,5,25,6,0,17,0,0,2668,1,1350,9,0,0
1377238643879,5,25,6,0,17,0,0,2668,1,1350,9,0,0
1377238648879,5,25,6,0,17,0,0,2668,1,1350,9,0,0
1377238653878,5,25,6,0,17,0,0,2668,1,1350,9,0,0
1377238658879,5,25,6,0,17,0,0,2668,1,1350,9,0,0
1377238663879,5,25,6,0,17,0,0,2668,1,1350,9,0,0
1377238668878,5,25,6,0,17,0,0,2670,1,1351,9,0,0
1377238673879,5,25,6,0,17,0,0,2670,1,1351,9,0,0
1377238678879,5,25,6,0,17,0,0,2670,1,1351,9,0,0
1377238683878,5,25,6,0,17,0,0,2670,1,1351,9,0,0
1377238688879,5,25,6,0,17,0,0,2670,1,1351,9,0,0
1377238693879,5,25,6,0,17,0,0,2670,1,1351,9,0,0
1377238698878,5,25,6,0,17,0,0,2672,1,1352,9,0,0
1377238703878,5,25,6,0,17,0,0,2672,1,1352,9,0,0
1377238708879,5,25,6,0,17,0,0,2672,1,1352,9,0,0
1377238713878,5,25,6,0,17,0,0,2672,1,1352,9,0,0
1377238718878,5,25,6,0,17,0,0,2672,1,1352,9,0,0
1377238723879,5,25,6,0,17,0,0,2672,1,1352,9,0,0
1377238728878,5,25,6,0,17,0,0,2674,1,1353,9,0,0
1377238733878,5,25,6,0,17,0,0,2674,1,1353,9,0,0
1377238738879,5,25,6,0,17,0,0,2674,1,1353,9,0,0
1377238743878,5,25,6,0,17,0,0,2674,1,1353,9,0,0
1377238748878,5,25,6,0,17,0,0,2674,1,1353,9,0,0
1377238753879,5,25,6,0,17,0,0,2674,1,1353,9,0,0
1377238758878,5,25,6,0,17,0,0,2676,1,1354,9,0,0
1377238763878,5,25,6,0,17,0,0,2676,1,1354,9,0,0
1377238768879,5,25,6,0,17,0,0,2676,1,1354,9,0,0
1377238773878,5,25,6,0,17,0,0,2676,1,1354,9,0,0
1377238778878,5,25,6,0,17,0,0,2676,1,1354,9,0,0
1377238783879,5,25,6,0,17,0,0,2676,1,1354,9,0,0
1377238788879,5,25,6,0,17,0,0,2678,1,1355,9,0,0
1377238793878,5,25,6,0,17,0,0,2678,1,1355,9,0,0
1377238798879,5,25,6,0,17,0,0,2678,1,1355,9,0,0
1377238803879,5,25,6,0,17,0,0,2678,1,1355,9,0,0
1377238808878,5,25,6,0,17,0,0,2678,1,1355,9,0,0
1377238813878,5,25,6,0,17,0,0,2678,1,1355,9,0,0
1377238818879,5,25,6,0,17,0,0,2680,1,1356,9,0,0
1377238823878,5,25,6,0,17,0,0,2680,1,1356,9,0,0
1377238828878,5,25,6,0,17,0,0,2680,1,1356,9,0,0
1377238833879,5,25,6,0,17,0,0,2680,1,1356,9,0,0
1377238838878,5,25,6,0,17,0,0,2680,1,1356,9,0,0
1377238843878,5,25,6,0,17,0,0,2680,1,1356,9,0,0
1377238848879,5,25,6,0,17,0,0,2682,1,1357,9,0,0
1377238853878,5,25,6,0,17,0,0,2682,1,1357,9,0,0
1377238858878,5,25,6,0,17,0,0,2682,1,1357,9,0,0
1377238863879,5,25,6,0,17,0,0,2682,1,1357,9,0,0
1377238868878,5,25,6,0,17,0,0,2682,1,1357,9,0,0
1377238873878,5,25,6,0,17,0,0,2682,1,1357,9,0,0
1377238878879,5,25,6,0,17,0,0,2684,1,1358,9,0,0
1377238883878,5,25,6,0,17,0,0,2684,1,1358,9,0,0
1377238888878,5,25,6,0,17,0,0,2684,1,1358,9,0,0
1377238893879,5,25,6,0,17,0,0,2684,1,1358,9,0,0
1377238898878,5,25,6,0,17,0,0,2684,1,1358,9,0,0
1377238903878,5,25,6,0,17,0,0,2684,1,1358,9,0,0
1377238908879,5,25,6,0,17,0,0,2686,1,1359,9,0,0
1377238913879,5,25,6,0,17,0,0,2686,1,1359,9,0,0
1377238918878,5,25,6,0,17,0,0,2686,1,1359,9,0,0
1377238923879,5,25,6,0,17,0,0,2686,1,1359,9,0,0
1377238928879,5,25,6,0,17,0,0,2686,1,1359,9,0,0
1377238933878,5,25,6,0,17,0,0,2686,1,1359,9,0,0
1377238938878,5,25,6,0,17,0,0,2688,1,1360,9,0,0
1377238943879,5,25,6,0,17,0,0,2688,1,1360,9,0,0
1377238948878,5,25,6,0,17,0,0,2688,1,1360,9,0,0
1377238953878,5,25,6,0,17,0,0,2688,1,1360,9,0,0
1377238958879,5,25,6,0,17,0,0,2688,1,1360,9,0,0
1377238963878,5,25,6,0,17,0,0,2688,1,1360,9,0,0
1377238968878,5,25,6,0,17,0,0,2690,1,1361,9,0,0
1377238973879,5,25,6,0,17,0,0,2690,1,1361,9,0,0
1377238978878,5,25,6,0,17,0,0,2690,1,1361,9,0,0
1377238983878,5,25,6,0,17,0,0,2690,1,1361,9,0,0
1377238988879,5,25,6,0,17,0,0,2690,1,1361,9,0,0
1377238993878,5,25,6,0,17,0,0,2690,1,1361,9,0,0
1377238998878,5,25,6,0,17,0,0,2692,1,1362,9,0,0
1377239003879,5,25,6,0,17,0,0,2692,1,1362,9,0,0
1377239008878,5,25,6,0,17,0,0,2692,1,1362,9,0,0
1377239013878,5,25,6,0,17,0,0,2692,1,1362,9,0,0
1377239018879,5,25,6,0,17,0,0,2692,1,1362,9,0,0
1377239023878,5,25,6,0,17,0,0,2692,1,1362,9,0,0
1377239028878,5,25,6,0,17,0,0,2694,1,1363,9,0,0
1377239033879,5,25,6,0,17,0,0,2694,1,1363,9,0,0
1377239038879,5,25,6,0,17,0,0,2694,1,1363,9,0,0
1377239043878,5,25,6,0,17,0,0,2694,1,1363,9,0,0
1377239048878,5,25,6,0,17,0,0,2694,1,1363,9,0,0
1377239053879,5,25,6,0,17,0,0,2694,1,1363,9,0,0
1377239058878,5,25,6,0,17,0,0,2696,1,1364,9,0,0
1377239063878,5,25,6,0,17,0,0,2696,1,1364,9,0,0
1377239068879,5,25,6,0,17,0,0,2696,1,1364,9,0,0
1377239073878,5,25,6,0,17,0,0,2696,1,1364,9,0,0
1377239078878,5,25,6,0,17,0,0,2696,1,1364,9,0,0
1377239083879,5,25,6,0,17,0,0,2696,1,1364,9,0,0
1377239088878,5,25,6,0,17,0,0,2698,1,1365,9,0,0
1377239093878,5,25,6,0,17,0,0,2698,1,1365,9,0,0
1377239098879,5,25,6,0,17,0,0,2698,1,1365,9,0,0
1377239103878,5,25,6,0,17,0,0,2698,1,1365,9,0,0
1377239108878,5,25,6,0,17,0,0,2698,1,1365,9,0,0
1377239113879,5,25,6,0,17,0,0,2698,1,1365,9,0,0
1377239118878,5,25,6,0,17,0,0,2700,1,1366,9,0,0
1377239123878,5,25,6,0,17,0,0,2700,1,1366,9,0,0
1377239128879,5,25,6,0,17,0,0,2700,1,1366,9,0,0
1377239133878,5,25,6,0,17,0,0,2700,1,1366,9,0,0
1377239138878,5,25,6,0,17,0,0,2700,1,1366,9,0,0
1377239143879,5,25,6,0,17,0,0,2700,1,1366,9,0,0
1377239148878,5,25,6,0,17,0,0,2702,1,1367,9,0,0
1377239153878,5,25,6,0,17,0,0,2702,1,1367,9,0,0
1377239158878,5,25,6,0,17,0,0,2702,1,1367,9,0,0
1377239163878,5,25,6,0,17,0,0,2702,1,1367,9,0,0
1377239168878,5,25,6,0,17,0,0,2702,1,1367,9,0,0
1377239173878,5,25,6,0,17,0,0,2702,1,1367,9,0,0
1377239178878,5,25,6,0,17,0,0,2704,1,1368,9,0,0
1377239183878,5,25,6,0,17,0,0,2704,1,1368,9,0,0
1377239188878,5,25,6,0,17,0,0,2704,1,1368,9,0,0
1377239193879,5,25,6,0,17,0,0,2704,1,1368,9,0,0
1377239198878,5,25,6,0,17,0,0,2704,1,1368,9,0,0
1377239203878,5,25,6,0,17,0,0,2704,1,1368,9,0,0
1377239208879,5,25,6,0,17,0,0,2706,1,1369,9,0,0
1377239213878,5,25,6,0,17,0,0,2706,1,1369,9,0,0
1377239218878,5,25,6,0,17,0,0,2706,1,1369,9,0,0
1377239223879,5,25,6,0,17,0,0,2706,1,1369,9,0,0
1377239228878,5,25,6,0,17,0,0,2706,1,1369,9,0,0
1377239233878,5,25,6,0,17,0,0,2706,1,1369,9,0,0
1377239238879,5,25,6,0,17,0,0,2708,1,1370,9,0,0
1377239243878,5,25,6,0,17,0,0,2708,1,1370,9,0,0
1377239248878,5,25,6,0,17,0,0,2708,1,1370,9,0,0
1377239253879,5,25,6,0,17,0,0,2708,1,1370,9,0,0
1377239258878,5,25,6,0,17,0,0,2708,1,1370,9,0,0
1377239263878,5,25,6,0,17,0,0,2708,1,1370,9,0,0
1377239268879,5,25,6,0,17,0,0,2710,1,1371,9,0,0
1377239273878,5,25,6,0,17,0,0,2710,1,1371,9,0,0
1377239278878,5,25,6,0,17,0,0,2710,1,1371,9,0,0
1377239283878,5,25,6,0,17,0,0,2710,1,1371,9,0,0
1377239288878,5,25,6,0,17,0,0,2710,1,1371,9,0,0
1377239293878,5,25,6,0,17,0,0,2710,1,1371,9,0,0
1377239298878,5,25,6,0,17,0,0,2712,1,1372,9,0,0
1377239303879,5,25,6,0,17,0,0,2712,1,1372,9,0,0
1377239308878,5,25,6,0,17,0,0,2712,1,1372,9,0,0
1377239313878,5,25,6,0,17,0,0,2712,1,1372,9,0,0
1377239318879,5,25,6,0,17,0,0,2712,1,1372,9,0,0
1377239323878,5,25,6,0,17,0,0,2712,1,1372,9,0,0
1377239328878,5,25,6,0,17,0,0,2714,1,1373,9,0,0
1377239333879,5,25,6,0,17,0,0,2714,1,1373,9,0,0
1377239338878,5,25,6,0,17,0,0,2714,1,1373,9,0,0
1377239343878,5,25,6,0,17,0,0,2714,1,1373,9,0,0
1377239348879,5,25,6,0,17,0,0,2714,1,1373,9,0,0
1377239353878,5,25,6,0,17,0,0,2714,1,1373,9,0,0
1377239358878,5,25,6,0,17,0,0,2716,1,1374,9,0,0
1377239363879,5,25,6,0,17,0,0,2716,1,1374,9,0,0
1377239368878,5,25,6,0,17,0,0,2716,1,1374,9,0,0
1377239373878,5,25,6,0,17,0,0,2716,1,1374,9,0,0
1377239378878,5,25,6,0,17,0,0,2716,1,1374,9,0,0
1377239383878,5,25,6,0,17,0,0,2716,1,1374,9,0,0
1377239388878,5,25,6,0,17,0,0,2718,1,1375,9,0,0
1377239393878,5,25,6,0,17,0,0,2718,1,1375,9,0,0
1377239398878,5,25,6,0,17,0,0,2718,1,1375,9,0,0
1377239403878,5,25,6,0,17,0,0,2718,1,1375,9,0,0
1377239408878,5,25,6,0,17,0,0,2718,1,1375,9,0,0
1377239413878,5,25,6,0,17,0,0,2718,1,1375,9,0,0
1377239418878,5,25,6,0,17,0,0,2720,1,1376,9,0,0
1377239423878,5,25,6,0,17,0,0,2720,1,1376,9,0,0
1377239428879,5,25,6,0,17,0,0,2720,1,1376,9,0,0
